track,model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,n_rows,threshold_policy,recall_target,inference_time_seconds,inference_rows_per_second,note
reduced_quantum_compatible_classical,reduced_svm_rbf,test,0.494977430949049,0.0584278606965174,0.0049646583641871,0.944,0.0098773699409869,0.4972259999999999,0.0071212965866668,0.946,0.056,5400.0,94600.0,28.0,472.0,1000.0,recall_target_precision_max,0.8,0.0570694239995646,17522.51783735594,
reduced_quantum_compatible_classical,reduced_mlp,train,0.4939236659962316,0.163389303482587,0.0049824909493385,0.84125,0.0099063095684941,0.5082499999999999,0.0050843509571177,0.84,0.15875,25600.0,134400.0,127.0,673.0,1600.0,recall_target_precision_max,0.8,0.0005388699992181,2969176.243475143,
reduced_quantum_compatible_classical,reduced_mlp,valid,0.4939236659962316,0.1957587064676617,0.0052202836508107,0.8475,0.0103766510047597,0.5316812499999999,0.0055350281969804,0.8075,0.1525,15400.0,64600.0,61.0,339.0,800.0,recall_target_precision_max,0.8,0.000406410999858,1968450.657780953,
reduced_quantum_compatible_classical,reduced_mlp,test,0.4939236659962316,0.149681592039801,0.0051605838565753,0.886,0.0102613993027807,0.500524,0.0069141525569409,0.854,0.114,14600.0,85400.0,57.0,443.0,1000.0,recall_target_precision_max,0.8,0.00043167199874,2316573.701603879,
quantum_statevector_reduced_features,quantum_kernel_svc_statevector,train,-1.0002535702311708,0.0806094527363184,0.0051291716589706,0.9525,0.0102033984547609,0.530425,0.0066493428309266,0.92375,0.0475,12200.0,147800.0,38.0,762.0,1600.0,recall_target_precision_max,0.8,0.0182215829991037,87807.95829202665,
quantum_statevector_reduced_features,quantum_kernel_svc_statevector,valid,-1.0002535702311708,0.0992537313432835,0.0052212146194009,0.95,0.0103853511888494,0.51019375,0.0049481802039661,0.905,0.05,7600.0,72400.0,20.0,380.0,800.0,recall_target_precision_max,0.8,0.0092823489994771,86185.08095796285,
quantum_statevector_reduced_features,quantum_kernel_svc_statevector,test,-1.0002535702311708,0.0922587064676617,0.0051487913430491,0.944,0.0102417219980037,0.507476,0.0088198437812377,0.912,0.056,8800.0,91200.0,28.0,472.0,1000.0,recall_target_precision_max,0.8,0.0115211060001456,86797.2224183474,
quantum_statevector_reduced_features,variational_quantum_classifier_statevector,train,0.0049669229713368,0.0149004975124378,0.0050001256312972,0.995,0.0099502487562189,0.4978109374999999,0.007783156052223,0.99,0.005,1600.0,158400.0,4.0,796.0,1600.0,recall_target_precision_max,0.8,0.2583750620015053,6192.548102768054,
quantum_statevector_reduced_features,variational_quantum_classifier_statevector,valid,0.0049669229713368,0.0124253731343283,0.0050000626574267,0.9975,0.0099502487562189,0.4829,0.0073132184587091,0.9925,0.0025,600.0,79400.0,1.0,399.0,800.0,recall_target_precision_max,0.8,0.1312893040012568,6093.41336741599,
quantum_statevector_reduced_features,variational_quantum_classifier_statevector,test,0.0049669229713368,0.0089054726368159,0.004945301963135,0.99,0.0098414434117003,0.5312919999999999,0.009722764112197,0.996,0.01,400.0,99600.0,5.0,495.0,1000.0,recall_target_precision_max,0.8,0.1598471439992863,6255.976647317919,
