track,model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,n_rows,training_time_seconds,test_inference_time_seconds,threshold_policy,recall_target,train_fraction,repeat,train_rows_used,feature_state_time_seconds,kernel_matrix_time_seconds
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.000432420707623,0.09413930348258706,0.005040399733219624,0.922,0.010025989278063526,0.5232680000000001,0.0052582433597591245,0.91,0.078,9000.0,91000.0,39.0,461.0,1000,0.013519653000912513,0.006327883998892503,recall_target_precision_max,0.8,0.5,1,800,0.3155052580004849,0.019971323999925517
phase5_label_scarcity,reduced_logistic_regression,test,0.004929223676148055,0.24687562189054726,0.005407112128507716,0.822,0.010743553214570455,0.5323880000000001,0.0072450367383944435,0.756,0.178,24400.0,75600.0,89.0,411.0,1000,0.032840017000125954,0.000288507000732352,recall_target_precision_max,0.8,0.5,2,800,,
phase5_label_scarcity,reduced_svm_rbf,test,0.4748376681589468,0.08616915422885572,0.004985909386516367,0.92,0.009918068132815868,0.47652,0.0044119880722956915,0.918,0.08,8200.0,91800.0,40.0,460.0,1000,0.09257622199947946,0.028224109999428038,recall_target_precision_max,0.8,0.5,2,800,,
phase5_label_scarcity,reduced_mlp,test,0.4997551985391828,0.08829850746268657,0.005148033103807807,0.948,0.010240456283621751,0.494088,0.004618475494033295,0.916,0.052,8400.0,91600.0,26.0,474.0,1000,0.08041428199976508,0.0003936379998776829,recall_target_precision_max,0.8,0.5,2,800,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0002401393697502,0.09795024875621891,0.004876762883880322,0.888,0.009700253430044568,0.48192399999999996,0.004610257388665414,0.906,0.112,9400.0,90600.0,56.0,444.0,1000,0.013955282000097213,0.006345559000692447,recall_target_precision_max,0.8,0.5,2,800,0.31500405100086937,0.025688100000479608
phase5_label_scarcity,reduced_logistic_regression,test,0.004746716395640759,0.12404975124378109,0.00527880452598144,0.934,0.01049827464115908,0.514232,0.006902500486523106,0.88,0.066,12000.0,88000.0,33.0,467.0,1000,0.012301914999625296,0.0003558770004019607,recall_target_precision_max,0.8,1.0,0,1600,,
phase5_label_scarcity,reduced_svm_rbf,test,0.5,0.004975124378109453,0.004975124378109453,1.0,0.009900990099009901,0.5,0.004975124378109453,1.0,0.0,0.0,100000.0,0.0,500.0,1000,0.3606944709990785,0.05495378100022208,recall_target_precision_max,0.8,1.0,0,1600,,
phase5_label_scarcity,reduced_mlp,test,0.4922903022443147,0.21083582089552239,0.004887610096872683,0.778,0.009714192960331632,0.482812,0.0045792643884505985,0.792,0.222,20800.0,79200.0,111.0,389.0,1000,0.19611288899977808,0.0004447310002433369,recall_target_precision_max,0.8,1.0,0,1600,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0005014812716484,0.020895522388059702,0.005055611729019211,1.0,0.01006036217303823,0.5086200000000001,0.004960696420897402,0.984,0.0,1600.0,98400.0,0.0,500.0,1000,0.04502914899967436,0.01167514500048128,recall_target_precision_max,0.8,1.0,0,1600,0.4120661029992334,0.08180963399900065
phase5_label_scarcity,reduced_logistic_regression,test,0.00474671639564075,0.12404975124378109,0.00527880452598144,0.934,0.01049827464115908,0.514232,0.006902500486523106,0.88,0.066,12000.0,88000.0,33.0,467.0,1000,0.012459090001357254,0.0002905469991674181,recall_target_precision_max,0.8,1.0,1,1600,,
phase5_label_scarcity,reduced_svm_rbf,test,0.48153778178585593,0.1890049751243781,0.00482914603582126,0.79,0.009599611154991191,0.466364,0.004512003197953128,0.814,0.21,18600.0,81400.0,105.0,395.0,1000,0.35875014799967175,0.056375434000074165,recall_target_precision_max,0.8,1.0,1,1600,,
phase5_label_scarcity,reduced_mlp,test,0.48465521079694884,0.159592039800995,0.005174507007390469,0.878,0.010288379287312951,0.5255839999999999,0.005137751048307483,0.844,0.122,15600.0,84400.0,61.0,439.0,1000,0.13373563700042723,0.0004591349988913862,recall_target_precision_max,0.8,1.0,1,1600,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0002336623184347,0.175363184079602,0.005094684225704124,0.848,0.010128517509913525,0.535776,0.0073322768418939786,0.828,0.152,17200.0,82800.0,76.0,424.0,1000,0.037347392999436124,0.012448168999981135,recall_target_precision_max,0.8,1.0,1,1600,0.42528864100131614,0.05843069599904993
phase5_label_scarcity,reduced_logistic_regression,test,0.00474671639564075,0.12404975124378109,0.00527880452598144,0.934,0.01049827464115908,0.514232,0.006902500486523106,0.88,0.066,12000.0,88000.0,33.0,467.0,1000,0.012740180000037071,0.0003006449987879023,recall_target_precision_max,0.8,1.0,2,1600,,
phase5_label_scarcity,reduced_svm_rbf,test,0.48513138366070924,0.07448756218905472,0.005198639368461588,0.972,0.010341965824697295,0.52086,0.005084616819154504,0.93,0.028,7000.0,93000.0,14.0,486.0,1000,0.3645861760014668,0.053617301000485895,recall_target_precision_max,0.8,1.0,2,1600,,
phase5_label_scarcity,reduced_mlp,test,0.4884757218646427,0.1120497512437811,0.00514158887364629,0.922,0.010226150996550614,0.5064799999999999,0.00679024103913216,0.892,0.078,10800.0,89200.0,39.0,461.0,1000,0.09850588200060884,0.0004421579997142544,recall_target_precision_max,0.8,1.0,2,1600,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0004246287965801,0.032776119402985075,0.005056605318648023,0.988,0.010061714565044707,0.5234920000000001,0.005247586522947935,0.972,0.012,2800.0,97200.0,6.0,494.0,1000,0.03989704600098776,0.012958072000401444,recall_target_precision_max,0.8,1.0,2,1600,0.41279349800061027,0.06592749199990067
