model_group,purpose,i,j,circuit_index,depth_transpiled,size_transpiled,ops_transpiled
kernel_svc,valid_kernel,7,6,131,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,7,132,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,8,133,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,9,134,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,0,135,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,1,136,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,2,137,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,3,138,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,4,139,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,5,140,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,6,141,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,7,142,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,8,143,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,9,144,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,0,145,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,1,146,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,2,147,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,3,148,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,4,149,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,5,150,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,6,151,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,7,152,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,8,153,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,9,154,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,0,155,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,1,156,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,2,157,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,3,158,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,4,159,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,5,160,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,6,161,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,7,162,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,8,163,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,9,164,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,0,165,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,1,166,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,2,167,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,3,168,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,4,169,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,5,170,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,6,171,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,7,172,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,8,173,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,9,174,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,0,175,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,1,176,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,2,177,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,3,178,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,4,179,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
