model_group,purpose,i,j,circuit_index,n_qubits,n_clbits,depth_untranspiled,size_untranspiled,ops_untranspiled
kernel_svc,test_kernel,8,3,238,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,4,239,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,5,240,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,6,241,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,7,242,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,8,243,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,9,244,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,9,0,245,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,9,1,246,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,9,2,247,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,9,3,248,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
