model_group,purpose,i,j,circuit_index,counts_json,shots_observed
kernel_svc,valid_kernel,3,8,93,"{""1000"": 17, ""0000"": 217, ""0001"": 17, ""0010"": 3, ""0100"": 2}",256
kernel_svc,valid_kernel,3,9,94,"{""0000"": 238, ""0001"": 15, ""1000"": 3}",256
kernel_svc,valid_kernel,4,0,95,"{""0000"": 180, ""1000"": 45, ""0001"": 23, ""0010"": 1, ""0101"": 2, ""0100"": 2, ""0011"": 1, ""1001"": 2}",256
kernel_svc,valid_kernel,4,1,96,"{""0000"": 212, ""1000"": 8, ""0001"": 27, ""1001"": 2, ""0100"": 4, ""0010"": 3}",256
kernel_svc,valid_kernel,4,2,97,"{""0000"": 230, ""0001"": 23, ""0100"": 1, ""1000"": 2}",256
kernel_svc,valid_kernel,4,3,98,"{""0100"": 2, ""0101"": 1, ""0000"": 214, ""0001"": 20, ""1001"": 1, ""1000"": 17, ""0010"": 1}",256
kernel_svc,valid_kernel,4,4,99,"{""1000"": 3, ""0000"": 226, ""0001"": 25, ""0010"": 1, ""0100"": 1}",256
kernel_svc,valid_kernel,4,5,100,"{""0000"": 193, ""1000"": 37, ""0001"": 15, ""1101"": 1, ""0100"": 5, ""1001"": 4, ""1100"": 1}",256
kernel_svc,valid_kernel,4,6,101,"{""0000"": 241, ""0001"": 14, ""1000"": 1}",256
kernel_svc,valid_kernel,4,7,102,"{""1000"": 62, ""0000"": 163, ""0001"": 18, ""1001"": 8, ""0100"": 4, ""0010"": 1}",256
kernel_svc,valid_kernel,4,8,103,"{""0001"": 16, ""0000"": 154, ""1000"": 74, ""1100"": 4, ""1001"": 4, ""0100"": 3, ""0101"": 1}",256
kernel_svc,valid_kernel,4,9,104,"{""1001"": 1, ""0000"": 203, ""0100"": 1, ""0001"": 14, ""1000"": 37}",256
kernel_svc,valid_kernel,5,0,105,"{""0000"": 233, ""0001"": 16, ""1000"": 6, ""1001"": 1}",256
kernel_svc,valid_kernel,5,1,106,"{""0000"": 218, ""0100"": 14, ""0011"": 1, ""0001"": 13, ""0101"": 2, ""1000"": 7, ""1100"": 1}",256
kernel_svc,valid_kernel,5,2,107,"{""0000"": 195, ""0001"": 25, ""1001"": 6, ""1000"": 30}",256
kernel_svc,valid_kernel,5,3,108,"{""0000"": 235, ""0001"": 20, ""1000"": 1}",256
kernel_svc,valid_kernel,5,4,109,"{""0000"": 197, ""1000"": 22, ""0001"": 27, ""0010"": 3, ""0100"": 6, ""0101"": 1}",256
kernel_svc,valid_kernel,5,5,110,"{""0000"": 217, ""0010"": 3, ""0001"": 33, ""1000"": 3}",256
kernel_svc,valid_kernel,5,6,111,"{""0000"": 219, ""1000"": 11, ""0001"": 21, ""0100"": 4, ""1001"": 1}",256
kernel_svc,valid_kernel,5,7,112,"{""0000"": 228, ""1000"": 12, ""0001"": 16}",256
kernel_svc,valid_kernel,5,8,113,"{""0000"": 206, ""0001"": 29, ""1000"": 14, ""1001"": 5, ""0010"": 1, ""0011"": 1}",256
kernel_svc,valid_kernel,5,9,114,"{""0000"": 219, ""0001"": 30, ""0010"": 2, ""1001"": 1, ""1000"": 3, ""0100"": 1}",256
kernel_svc,valid_kernel,6,0,115,"{""0000"": 213, ""0001"": 31, ""1000"": 3, ""0010"": 5, ""0011"": 2, ""1001"": 1, ""0101"": 1}",256
kernel_svc,valid_kernel,6,1,116,"{""1000"": 9, ""0000"": 202, ""0001"": 23, ""0101"": 1, ""0100"": 13, ""1001"": 2, ""1100"": 2, ""0010"": 4}",256
kernel_svc,valid_kernel,6,2,117,"{""0000"": 174, ""1100"": 1, ""1000"": 64, ""0001"": 16, ""1010"": 1}",256
kernel_svc,valid_kernel,6,3,118,"{""0001"": 49, ""0000"": 195, ""1000"": 2, ""0100"": 1, ""0011"": 2, ""0010"": 4, ""1001"": 3}",256
kernel_svc,valid_kernel,6,4,119,"{""0000"": 214, ""1000"": 21, ""0001"": 17, ""0010"": 2, ""1001"": 1, ""0100"": 1}",256
kernel_svc,valid_kernel,6,5,120,"{""0000"": 244, ""0001"": 11, ""1000"": 1}",256
kernel_svc,valid_kernel,6,6,121,"{""1000"": 35, ""0000"": 202, ""0001"": 16, ""1001"": 1, ""1100"": 1, ""0100"": 1}",256
