sample_index,label,counts_json,shots_observed
34,0,"{""1011"": 769, ""0101"": 3, ""1101"": 8, ""0100"": 15, ""0011"": 82, ""0010"": 6, ""0111"": 50, ""1111"": 19, ""1110"": 26, ""1000"": 1, ""1010"": 7, ""0110"": 9, ""0001"": 15, ""1001"": 8, ""1100"": 6}",1024
35,0,"{""1011"": 753, ""1100"": 3, ""0011"": 70, ""0001"": 15, ""0111"": 62, ""0100"": 22, ""0101"": 6, ""0010"": 4, ""1111"": 27, ""1010"": 11, ""1110"": 21, ""0110"": 12, ""1101"": 2, ""1001"": 12, ""1000"": 2, ""0000"": 2}",1024
36,0,"{""1011"": 724, ""0011"": 91, ""1111"": 35, ""0100"": 22, ""1110"": 18, ""0111"": 62, ""1001"": 10, ""0101"": 10, ""0000"": 2, ""1010"": 11, ""0110"": 9, ""0001"": 15, ""0010"": 7, ""1000"": 4, ""1101"": 3, ""1100"": 1}",1024
37,1,"{""1111"": 35, ""0011"": 505, ""0111"": 40, ""1011"": 351, ""1001"": 18, ""0101"": 5, ""0100"": 10, ""0110"": 10, ""1101"": 4, ""0010"": 3, ""1110"": 13, ""0000"": 1, ""0001"": 13, ""1010"": 7, ""1100"": 6, ""1000"": 3}",1024
38,1,"{""1011"": 747, ""0011"": 81, ""0111"": 67, ""0100"": 16, ""0110"": 8, ""1111"": 24, ""1001"": 14, ""1110"": 26, ""1101"": 3, ""1010"": 7, ""1100"": 5, ""0010"": 4, ""0001"": 15, ""0000"": 3, ""0101"": 3, ""1000"": 1}",1024
39,0,"{""1011"": 781, ""0011"": 59, ""0111"": 45, ""1101"": 7, ""1110"": 20, ""1111"": 25, ""0001"": 19, ""1010"": 11, ""0110"": 9, ""0100"": 16, ""1100"": 3, ""0010"": 3, ""0000"": 6, ""1001"": 12, ""0101"": 4, ""1000"": 4}",1024
40,1,"{""0011"": 663, ""1011"": 199, ""1100"": 15, ""0100"": 5, ""0111"": 27, ""1001"": 21, ""1110"": 7, ""0010"": 6, ""0110"": 8, ""0101"": 2, ""1111"": 40, ""0001"": 19, ""1101"": 6, ""0000"": 2, ""1010"": 3, ""1000"": 1}",1024
41,1,"{""1011"": 811, ""0110"": 8, ""1111"": 30, ""0111"": 55, ""1110"": 19, ""0011"": 32, ""1010"": 12, ""0001"": 16, ""1100"": 2, ""0100"": 20, ""0000"": 4, ""1001"": 5, ""1000"": 1, ""0010"": 4, ""0101"": 5}",1024
42,1,"{""1011"": 815, ""1110"": 23, ""1111"": 29, ""0111"": 46, ""1010"": 12, ""1001"": 12, ""0011"": 25, ""0010"": 3, ""0001"": 19, ""0100"": 18, ""0101"": 9, ""1101"": 5, ""0110"": 4, ""0000"": 3, ""1100"": 1}",1024
43,1,"{""0011"": 182, ""0110"": 6, ""1011"": 655, ""0001"": 13, ""1111"": 49, ""1110"": 23, ""1001"": 15, ""1010"": 6, ""0111"": 43, ""0100"": 10, ""0101"": 5, ""1101"": 7, ""1100"": 7, ""0000"": 3}",1024
44,1,"{""1011"": 814, ""1001"": 10, ""0111"": 52, ""1101"": 5, ""0100"": 16, ""1110"": 19, ""0110"": 10, ""0011"": 39, ""1111"": 21, ""0001"": 12, ""1010"": 7, ""0101"": 6, ""1100"": 5, ""0000"": 4, ""0010"": 3, ""1000"": 1}",1024
45,0,"{""0011"": 534, ""1011"": 347, ""0100"": 8, ""0110"": 12, ""1100"": 12, ""0001"": 9, ""0010"": 6, ""1001"": 18, ""1111"": 23, ""1110"": 11, ""0111"": 29, ""0101"": 5, ""0000"": 3, ""1000"": 3, ""1101"": 2, ""1010"": 2}",1024
46,0,"{""1011"": 371, ""0011"": 480, ""0111"": 48, ""1010"": 7, ""1110"": 8, ""0110"": 10, ""1001"": 18, ""0010"": 7, ""1111"": 17, ""0001"": 19, ""1100"": 18, ""0100"": 8, ""0101"": 4, ""1000"": 4, ""0000"": 2, ""1101"": 3}",1024
47,1,"{""0011"": 710, ""1011"": 170, ""0010"": 4, ""1001"": 20, ""0100"": 5, ""1100"": 14, ""0110"": 17, ""1111"": 41, ""0001"": 12, ""1010"": 5, ""0111"": 12, ""0101"": 4, ""1101"": 4, ""1110"": 3, ""0000"": 2, ""1000"": 1}",1024
48,0,"{""1011"": 811, ""1111"": 29, ""0111"": 46, ""1110"": 28, ""0010"": 2, ""0011"": 25, ""1101"": 5, ""0101"": 6, ""0001"": 25, ""0100"": 21, ""1001"": 18, ""1010"": 3, ""0110"": 3, ""1000"": 1, ""0000"": 1}",1024
49,1,"{""1011"": 757, ""0100"": 22, ""1111"": 19, ""1110"": 23, ""0011"": 98, ""0111"": 41, ""1001"": 13, ""1100"": 9, ""0001"": 17, ""1101"": 5, ""1010"": 5, ""0010"": 4, ""0000"": 2, ""0101"": 4, ""0110"": 4, ""1000"": 1}",1024
50,1,"{""0011"": 783, ""0110"": 15, ""1001"": 18, ""0111"": 26, ""1011"": 86, ""1000"": 1, ""0000"": 1, ""1100"": 12, ""1111"": 38, ""1010"": 4, ""0001"": 14, ""0101"": 5, ""1110"": 4, ""1101"": 9, ""0010"": 7, ""0100"": 1}",1024
51,0,"{""0011"": 269, ""1011"": 589, ""0111"": 28, ""0001"": 14, ""0100"": 18, ""1101"": 6, ""1100"": 11, ""1111"": 47, ""0110"": 4, ""0010"": 1, ""0101"": 4, ""1010"": 5, ""1110"": 14, ""1001"": 10, ""0000"": 2, ""1000"": 2}",1024
52,0,"{""1011"": 792, ""1111"": 39, ""0111"": 60, ""0011"": 34, ""1010"": 10, ""0101"": 5, ""1110"": 23, ""1001"": 12, ""1100"": 2, ""0100"": 22, ""1000"": 2, ""0001"": 8, ""0110"": 7, ""1101"": 6, ""0000"": 2}",1024
53,0,"{""1011"": 413, ""0011"": 416, ""1001"": 21, ""0111"": 45, ""0001"": 23, ""0100"": 15, ""1100"": 8, ""0010"": 4, ""1111"": 34, ""0110"": 11, ""1110"": 6, ""1010"": 7, ""1000"": 5, ""1101"": 9, ""0000"": 4, ""0101"": 3}",1024
54,1,"{""0001"": 20, ""1011"": 568, ""0011"": 301, ""0100"": 11, ""1100"": 11, ""0111"": 27, ""1111"": 40, ""0101"": 6, ""0010"": 6, ""1110"": 7, ""1101"": 4, ""0000"": 1, ""0110"": 9, ""1001"": 7, ""1010"": 5, ""1000"": 1}",1024
55,1,"{""1011"": 705, ""1110"": 28, ""0011"": 153, ""0110"": 10, ""1100"": 2, ""0100"": 12, ""1001"": 16, ""0111"": 26, ""1111"": 38, ""0001"": 19, ""0000"": 3, ""1010"": 7, ""1101"": 3, ""1000"": 1, ""0101"": 1}",1024
56,1,"{""1011"": 674, ""0011"": 155, ""0110"": 7, ""1111"": 46, ""0001"": 18, ""1110"": 28, ""1101"": 5, ""0111"": 40, ""0100"": 18, ""0101"": 10, ""1010"": 4, ""1001"": 10, ""0010"": 3, ""0000"": 2, ""1000"": 2, ""1100"": 2}",1024
57,1,"{""1011"": 823, ""0100"": 13, ""1111"": 30, ""0011"": 22, ""0111"": 46, ""0001"": 22, ""1000"": 1, ""1110"": 29, ""1100"": 3, ""1010"": 6, ""0110"": 10, ""1001"": 8, ""0000"": 4, ""0010"": 1, ""0101"": 4, ""1101"": 2}",1024
58,1,"{""0011"": 786, ""0111"": 22, ""1011"": 89, ""1001"": 20, ""0101"": 3, ""0010"": 11, ""1111"": 37, ""0110"": 10, ""0001"": 9, ""1101"": 11, ""1100"": 15, ""1110"": 4, ""1000"": 3, ""0000"": 1, ""1010"": 3}",1024
59,1,"{""0001"": 8, ""0011"": 427, ""0000"": 2, ""1011"": 438, ""0111"": 37, ""0010"": 5, ""1110"": 12, ""1001"": 16, ""0110"": 12, ""1101"": 4, ""1111"": 21, ""0100"": 13, ""0101"": 5, ""1010"": 8, ""1100"": 14, ""1000"": 2}",1024
60,0,"{""0011"": 188, ""0101"": 5, ""1011"": 650, ""1111"": 41, ""0100"": 10, ""0010"": 8, ""1001"": 16, ""0000"": 2, ""0111"": 30, ""0001"": 18, ""1110"": 21, ""1101"": 5, ""1010"": 7, ""1100"": 13, ""1000"": 2, ""0110"": 8}",1024
